geneid	txid	sym	strand	utr5.len	cds.len	utr3.len	Tx.len
ENSG00000138670	ENST00000264400	RASGEF1B	-	152	1422	703	2277
ENSG00000036257	ENST00000264414	CUL3	-	339	2307	4095	6741
ENSG00000061918	ENST00000264424	GUCY1B3	+	82	1860	1182	3124
ENSG00000109738	ENST00000264428	GLRB	+	270	1494	1362	3126
ENSG00000109756	ENST00000264431	RAPGEF2	+	419	4500	2030	6949
ENSG00000052795	ENST00000264433	FNIP2	+	75	3345	3505	6925
ENSG00000115998	ENST00000264434	C2orf42	-	380	1725	476	2581
ENSG00000075340	ENST00000264436	ADD2	-	445	2181	6641	9267
ENSG00000059728	ENST00000264444	MXD1	+	260	666	4661	5587
ENSG00000124406	ENST00000264449	ATP8A1	-	220	3450	4539	8209
ENSG00000014824	ENST00000264451	SLC30A9	+	180	1707	4331	6218
ENSG00000093183	ENST00000264454	SEC22C	-	144	912	324	1380
ENSG00000040731	ENST00000264463	CDH10	-	508	2367	563	3438
ENSG00000121552	ENST00000264474	CSTA	+	49	297	405	751
ENSG00000080493	ENST00000264485	SLC4A4	+	646	3240	1966	5852
ENSG00000138684	ENST00000264497	IL21	-	58	489	82	629
ENSG00000138686	ENST00000264499	BBS7	-	184	2148	1420	3752
ENSG00000138688	ENST00000264501	KIAA1109	+	373	15018	505	15896
ENSG00000117222	ENST00000264515	RBBP5	-	142	1617	2645	4404
ENSG00000114446	ENST00000264538	IFT57	-	248	1290	1665	3203
ENSG00000108106	ENST00000264552	UBE2S	-	188	669	1691	2548
ENSG00000197540	ENST00000264553	GZMM	+	37	774	129	940
ENSG00000095752	ENST00000264563	IL11	-	63	600	1618	2281
ENSG00000038002	ENST00000264595	AGA	-	128	1041	938	2107
ENSG00000109674	ENST00000264596	NEIL3	+	118	1818	472	2408
ENSG00000124839	ENST00000264601	RAB17	-	630	639	697	1966
ENSG00000115648	ENST00000264605	MLPH	+	294	1803	1726	3823
ENSG00000065802	ENST00000264607	ASB1	+	247	1008	5739	6994
ENSG00000047457	ENST00000264613	CP	-	263	3198	1215	4676
ENSG00000114251	ENST00000264634	WNT5A	-	657	1143	4376	6176
ENSG00000108797	ENST00000264638	CNTNAP1	+	217	4155	904	5276
ENSG00000108344	ENST00000264639	PSMD3	+	174	1605	379	2158
ENSG00000108349	ENST00000264645	CASC3	+	226	2112	1778	4116
ENSG00000033627	ENST00000264649	ATP6V0A1	+	131	2517	1462	4110
ENSG00000167916	ENST00000264651	KRT24	-	57	1578	246	1881
ENSG00000168610	ENST00000264657	STAT3	-	313	2313	2421	5047
ENSG00000108306	ENST00000264658	FBXL20	-	261	1311	8816	10388
ENSG00000089558	ENST00000264661	KCNH4	-	333	3054	533	3920
ENSG00000112992	ENST00000264663	NNT	+	221	3261	3001	6483
ENSG00000070193	ENST00000264664	FGF10	-	115	627	1451	2193
ENSG00000124279	ENST00000264669	FASTKD3	-	137	1989	276	2402
ENSG00000037474	ENST00000264670	NSUN2	-	312	2304	687	3303
ENSG00000109775	ENST00000264689	UFSP2	-	117	1410	103	1630
ENSG00000164344	ENST00000264690	KLKB1	+	187	1917	259	2363
ENSG00000115226	ENST00000264703	FNDC4	-	392	705	560	1657
ENSG00000084774	ENST00000264705	CAD	+	162	6678	425	7265
ENSG00000084733	ENST00000264710	RAB10	+	499	603	2433	3535
ENSG00000115137	ENST00000264711	DNAJC27	-	190	822	3980	4992
ENSG00000084731	ENST00000264712	KIF3C	-	580	2382	2382	5344
ENSG00000075426	ENST00000264716	FOSL2	+	863	981	4864	6708
ENSG00000084734	ENST00000264717	GCKR	+	63	1878	245	2186
ENSG00000198522	ENST00000264718	GPN1	+	21	1167	1308	2496
ENSG00000114646	ENST00000264723	CSPG5	-	2099	1620	361	4080
ENSG00000113946	ENST00000264734	CLDN16	+	248	918	2107	3273
ENSG00000127252	ENST00000264735	HRASLS	+	94	822	150	1066
ENSG00000144668	ENST00000264741	ITGA9	+	256	3108	4525	7889
ENSG00000087274	ENST00000264758	ADD1	+	188	2307	1550	4045
ENSG00000127419	ENST00000264771	TMEM175	+	185	1515	160	1860
ENSG00000067113	ENST00000264775	PLPP1	-	340	858	352	1550
ENSG00000109667	ENST00000264784	SLC2A9	-	54	1623	173	1850
ENSG00000138738	ENST00000264808	PRDM5	-	241	1893	3196	5330
ENSG00000138741	ENST00000264811	TRPC3	-	419	2547	709	3675
ENSG00000104903	ENST00000264824	LYL1	-	361	843	286	1490
ENSG00000095066	ENST00000264827	HOOK2	-	171	2154	278	2603
ENSG00000080573	ENST00000264828	COL5A3	-	86	5238	850	6174
ENSG00000090339	ENST00000264832	ICAM1	+	325	1599	1328	3252
ENSG00000105088	ENST00000264833	OLFM2	-	186	1365	468	2019
ENSG00000105610	ENST00000264834	KLF1	-	41	1089	462	1592
ENSG00000114529	ENST00000264848	C3orf52	+	59	654	1564	2277
ENSG00000072858	ENST00000264852	SIDT1	+	726	2484	1870	5080
ENSG00000038210	ENST00000264864	PI4K2B	+	189	1446	1905	3540
ENSG00000109680	ENST00000264866	TBC1D19	+	278	1581	404	2263
ENSG00000109819	ENST00000264867	PPARGC1A	-	120	2397	3801	6318
ENSG00000124491	ENST00000264870	F13A1	-	266	2199	1534	3999
ENSG00000138750	ENST00000264883	NUP54	-	141	1524	702	2367
ENSG00000138755	ENST00000264888	CXCL9	-	39	378	2323	2740
ENSG00000138758	ENST00000264893	SEPT11	+	201	1290	4102	5593
ENSG00000138760	ENST00000264896	SCARB2	-	350	1437	2976	4763
ENSG00000138772	ENST00000264908	ANXA3	+	379	972	306	1657
ENSG00000113273	ENST00000264914	ARSB	-	537	1602	3188	5327
ENSG00000113231	ENST00000264917	PDE8B	+	45	2658	3253	5956
ENSG00000070950	ENST00000264926	RAD18	-	117	1488	4281	5886
ENSG00000113504	ENST00000264930	SLC12A7	-	44	3252	1984	5280
ENSG00000073578	ENST00000264932	SDHA	+	115	1995	280	2390
ENSG00000249915	ENST00000264933	PDCD6	+	100	576	459	1135
ENSG00000112877	ENST00000264935	CEP72	+	90	1944	400	2434
ENSG00000114127	ENST00000264951	XRN1	-	118	5121	4904	10143
ENSG00000114124	ENST00000264952	GRK7	+	137	1662	1440	3239
ENSG00000109519	ENST00000264954	GRPEL1	-	165	654	1956	2775
ENSG00000072840	ENST00000264956	EVC	+	184	2979	3268	6431
ENSG00000114988	ENST00000264963	LMAN2L	-	23	1047	1327	2397
ENSG00000071073	ENST00000264968	MGAT4A	-	364	1608	6460	8432
ENSG00000115085	ENST00000264972	ZAP70	+	215	1860	362	2437
ENSG00000073711	ENST00000264977	PPP2R3A	+	617	3453	2725	6795
ENSG00000114107	ENST00000264982	CEP70	-	267	1794	671	2732
ENSG00000240303	ENST00000264990	ACAD11	-	972	2343	827	4142
ENSG00000034533	ENST00000264992	ASTE1	-	442	2040	182	2664
ENSG00000091527	ENST00000264993	CDV3	+	315	777	2215	3307
ENSG00000114686	ENST00000264995	MRPL3	-	148	1047	511	1706
ENSG00000109586	ENST00000265000	GALNT7	+	83	1974	2250	4307
ENSG00000039600	ENST00000265007	SOX30	-	342	2262	661	3265
ENSG00000111846	ENST00000265012	GCNT2	+	244	1209	2761	4214
ENSG00000109743	ENST00000265016	BST1	+	195	957	328	1480
ENSG00000047662	ENST00000265018	FAM184B	-	213	3183	3226	6622
ENSG00000058866	ENST00000265022	DGKG	-	540	2376	2889	5805
ENSG00000073803	ENST00000265026	MAP3K13	+	334	2901	6641	9876
ENSG00000090512	ENST00000265029	FETUB	+	101	1149	377	1627
ENSG00000035499	ENST00000265036	DEPDC1B	-	68	1590	841	2499
ENSG00000049167	ENST00000265038	ERCC8	-	43	1191	783	2017
ENSG00000114850	ENST00000265044	SSR3	-	95	558	3063	3716
ENSG00000073111	ENST00000265056	MCM2	+	244	2715	663	3622
ENSG00000075785	ENST00000265062	RAB7A	+	246	624	1374	2244
ENSG00000056097	ENST00000265069	ZFR	-	103	3225	1410	4738
ENSG00000113384	ENST00000265070	GOLPH3	-	316	897	1508	2721
ENSG00000113361	ENST00000265071	CDH6	+	265	2373	5838	8476
ENSG00000113387	ENST00000265073	SUB1	+	128	384	2995	3507
ENSG00000038427	ENST00000265077	VCAN	+	565	10191	1869	12625
ENSG00000113319	ENST00000265080	RASGRF2	+	67	3714	4386	8167
ENSG00000113318	ENST00000265081	MSH3	+	80	3414	598	4092
ENSG00000113742	ENST00000265085	CPEB4	+	1454	2190	5839	9483
ENSG00000113739	ENST00000265087	STC2	-	1310	909	3134	5353
ENSG00000051596	ENST00000265097	THOC3	-	91	1056	442	1589
ENSG00000039139	ENST00000265104	DNAH5	-	105	13875	1653	15633
ENSG00000082068	ENST00000265107	WDR70	+	156	1965	862	2983
ENSG00000039560	ENST00000265109	RAI14	+	287	2943	1862	5092
ENSG00000113407	ENST00000265112	TARS	+	311	2172	1831	4314
ENSG00000079215	ENST00000265113	SLC1A3	+	476	1629	2065	4170
ENSG00000106927	ENST00000265132	AMBP	-	263	1059	112	1434
ENSG00000106078	ENST00000265136	COBL	-	166	3786	1339	5291
ENSG00000113369	ENST00000265138	ARRDC3	-	267	1245	2676	4188
ENSG00000133302	ENST00000265140	SLF1	+	419	3177	2309	5905
ENSG00000138778	ENST00000265148	CENPE	-	90	8106	416	8612
ENSG00000236699	ENST00000265154	ARHGEF38	+	146	660	631	1437
ENSG00000138792	ENST00000265162	ENPEP	+	342	2874	3727	6943
ENSG00000138794	ENST00000265164	CASP6	-	78	882	588	1548
ENSG00000138795	ENST00000265165	LEF1	-	655	1200	1213	3068
ENSG00000138798	ENST00000265171	EGF	+	445	3624	811	4880
ENSG00000138801	ENST00000265174	PAPSS1	-	273	1875	583	2731
ENSG00000112981	ENST00000265191	NME5	-	50	639	509	1198
ENSG00000074706	ENST00000265198	IPCEF1	-	156	1314	5219	6689
ENSG00000106013	ENST00000265224	ANKRD7	+	155	765	378	1298
ENSG00000114473	ENST00000265239	IQCG	-	425	1332	505	2262
ENSG00000041802	ENST00000265245	LSG1	-	315	1977	1280	3572
ENSG00000081154	ENST00000265260	PCNP	+	121	537	1684	2342
ENSG00000091009	ENST00000265271	RBM27	+	166	3183	3102	6451
ENSG00000176049	ENST00000265272	JAKMIP2	-	468	2433	3100	6001
ENSG00000113645	ENST00000265293	WWC1	+	502	3342	3286	7130
ENSG00000040275	ENST00000265295	SPDL1	+	279	1818	571	2668
ENSG00000106125	ENST00000265299	FAM188B	+	77	2274	382	2733
ENSG00000127412	ENST00000265310	TRPV5	-	349	2190	413	2952
ENSG00000115657	ENST00000265316	ABCB6	-	317	2529	170	3016
ENSG00000115425	ENST00000265322	PECR	-	75	912	866	1853
ENSG00000213585	ENST00000265333	VDAC1	-	245	852	856	1953
ENSG00000006837	ENST00000265334	CDKL3	-	119	1779	232	2130
ENSG00000119048	ENST00000265339	UBE2B	+	417	459	1639	2515
ENSG00000069011	ENST00000265340	PITX1	-	417	945	1044	2406
ENSG00000053108	ENST00000265342	FSTL4	-	250	2529	2640	5419
ENSG00000072364	ENST00000265343	AFF4	-	380	3492	5680	9552
ENSG00000044090	ENST00000265348	CUL7	-	86	5097	71	5254
ENSG00000124641	ENST00000265350	MED20	-	81	639	1718	2438
ENSG00000124571	ENST00000265351	XPO5	-	211	3615	1538	5364
ENSG00000112658	ENST00000265354	SRF	+	358	1527	2317	4202
ENSG00000075223	ENST00000265361	SEMA3C	-	562	2256	2356	5174
ENSG00000075213	ENST00000265362	SEMA3A	-	315	2316	5594	8225
ENSG00000099250	ENST00000265371	NRP1	-	526	2772	2584	5882
ENSG00000172752	ENST00000265379	COL6A5	+	494	7836	884	9214
ENSG00000107282	ENST00000265381	APBA1	-	223	2514	3797	6534
ENSG00000107242	ENST00000265382	PIP5K1B	+	305	1623	726	2654
ENSG00000064419	ENST00000265388	TNPO3	-	144	2772	1237	4153
ENSG00000106049	ENST00000265395	HIBADH	-	207	1011	772	1990
ENSG00000109181	ENST00000265403	UGT2B10	+	27	1587	317	1931
ENSG00000035720	ENST00000265404	STAP1	+	82	888	541	1511
ENSG00000070501	ENST00000265421	POLB	+	170	1008	151	1329
ENSG00000104327	ENST00000265431	CALB1	-	182	786	1565	2533
ENSG00000104320	ENST00000265433	NBN	-	155	2265	2246	4666
ENSG00000105967	ENST00000265440	TFEC	-	181	1044	5403	6628
ENSG00000105989	ENST00000265441	WNT2	-	300	1083	1524	2907
ENSG00000110076	ENST00000265459	NRXN2	-	462	5139	1020	6621
ENSG00000124920	ENST00000265460	MYRF	+	35	3336	2374	5745
ENSG00000126432	ENST00000265462	PRDX5	+	128	645	120	893
ENSG00000014138	ENST00000265465	POLA2	+	531	1797	1416	3744
ENSG00000149541	ENST00000265471	B3GAT3	-	228	1008	405	1641
ENSG00000198099	ENST00000265512	ADH4	-	75	1143	775	1993
ENSG00000114316	ENST00000265560	USP4	-	47	2892	187	3126
ENSG00000076201	ENST00000265562	PTPN23	+	77	4911	256	5244
ENSG00000114302	ENST00000265563	PRKAR2A	-	250	1215	5006	6471
ENSG00000075914	ENST00000265564	EXOSC7	+	48	876	131	1055
ENSG00000114650	ENST00000265565	SCAP	-	413	3840	141	4394
ENSG00000082556	ENST00000265572	OPRK1	-	298	1143	3573	5014
ENSG00000114859	ENST00000265593	CLCN2	-	172	2697	421	3290
ENSG00000078070	ENST00000265594	MCCC1	-	147	2178	220	2545
ENSG00000078081	ENST00000265598	LAMP3	-	256	1251	1868	3375
ENSG00000118514	ENST00000265605	ALDH8A1	-	69	1464	1025	2558
ENSG00000104691	ENST00000265616	UBXN8	+	25	812	612	1449
ENSG00000087460	ENST00000265620	GNAS	+	363	1140	363	1866
ENSG00000004864	ENST00000265631	SLC25A13	-	137	2028	971	3136
ENSG00000106236	ENST00000265634	NPTX2	+	165	1296	1239	2700
ENSG00000110090	ENST00000265641	CPT1A	-	155	2322	2755	5232
ENSG00000069482	ENST00000265643	GAL	+	258	372	188	818
ENSG00000165802	ENST00000265663	NSMF	-	232	1587	1821	3640
ENSG00000071242	ENST00000265678	RPS6KA2	-	224	2202	3398	5824
ENSG00000110719	ENST00000265686	TCIRG1	+	108	2493	76	2677
ENSG00000110721	ENST00000265689	CHKA	-	27	1374	1129	2530
ENSG00000168619	ENST00000265707	ADAM18	+	45	2220	123	2388
ENSG00000104755	ENST00000265708	ADAM2	-	104	2208	360	2672
ENSG00000029534	ENST00000265709	ANK1	-	282	5694	403	6379
ENSG00000091137	ENST00000265715	SLC26A4	+	224	2343	2363	4930
ENSG00000005249	ENST00000265717	PRKAR2B	+	259	1257	2229	3745
ENSG00000105865	ENST00000265720	DUS4L	+	362	954	904	2220
ENSG00000008277	ENST00000265727	ADAM22	+	79	2721	91	2891
ENSG00000006634	ENST00000265728	DBF4	+	504	2025	1378	3907
ENSG00000075142	ENST00000265729	SRI	-	53	597	1360	2010
ENSG00000127993	ENST00000265732	RBM48	+	41	1104	597	1742
ENSG00000105810	ENST00000265734	CDK6	-	412	981	10219	11612
ENSG00000127990	ENST00000265735	SGCE	-	111	1314	269	1694
ENSG00000001629	ENST00000265742	ANKIB1	+	376	3270	2435	6081
ENSG00000011426	ENST00000265748	ANLN	+	221	3375	1191	4787
ENSG00000106682	ENST00000265753	EIF4H	+	139	747	1793	2679
ENSG00000006704	ENST00000265755	GTF2IRD1	+	393	2880	157	3430
ENSG00000071462	ENST00000265758	WBSCR22	+	58	846	326	1230
ENSG00000042980	ENST00000265769	ADAM28	+	110	2328	4614	7052
ENSG00000015592	ENST00000265770	STMN4	-	137	570	543	1250
ENSG00000104679	ENST00000265806	R3HCC1	+	268	1323	182	1773
ENSG00000104611	ENST00000265807	SH2D4A	+	411	1365	1576	3352
ENSG00000106328	ENST00000265825	FSCN3	+	219	1497	522	2238
ENSG00000075239	ENST00000265838	ACAT1	+	91	1284	386	1761
ENSG00000110723	ENST00000265843	EXPH5	-	111	5970	4106	10187
ENSG00000105963	ENST00000265846	ADAP1	-	220	1125	1018	2363
ENSG00000122512	ENST00000265849	PMS2	-	106	2589	160	2855
ENSG00000239857	ENST00000265857	GET4	+	94	984	1012	2090
ENSG00000096746	ENST00000265866	HNRNPH3	+	165	1041	1133	2339
ENSG00000060339	ENST00000265872	CCAR1	+	119	3453	1111	4683
ENSG00000076043	ENST00000265881	REXO2	+	143	714	304	1161
ENSG00000104549	ENST00000265896	SQLE	+	898	1725	338	2961
ENSG00000120451	ENST00000265909	SNX19	-	570	2979	2986	6535
ENSG00000078725	ENST00000265922	BRINP1	-	462	2286	454	3202
ENSG00000095777	ENST00000265944	MYO3A	+	166	4851	564	5581
ENSG00000119487	ENST00000265960	MAPKAP1	-	333	1569	1493	3395
ENSG00000110768	ENST00000265963	GTF2H1	+	160	1647	1175	2982
ENSG00000129158	ENST00000265965	SERGEF	-	152	1377	37	1566
ENSG00000129159	ENST00000265969	KCNC1	+	1191	1758	938	3887
ENSG00000051009	ENST00000265978	FAM160A2	-	359	2961	161	3481
ENSG00000110315	ENST00000265981	RNF141	-	143	693	3238	4074
ENSG00000110169	ENST00000265983	HPX	-	101	1389	162	1652
ENSG00000119912	ENST00000265986	IDE	-	57	3060	2760	5877
ENSG00000095564	ENST00000265990	BTAF1	+	308	5550	1392	7250
ENSG00000016864	ENST00000266014	GLT8D1	-	673	1116	360	2149
ENSG00000004534	ENST00000266022	RBM6	+	259	3372	119	3750
ENSG00000126062	ENST00000266025	TMEM115	-	547	1056	594	2197
ENSG00000114378	ENST00000266031	HYAL1	-	616	1308	593	2517
ENSG00000088538	ENST00000266037	DOCK3	+	23	6093	2639	8755
ENSG00000055955	ENST00000266041	ITIH4	-	97	2793	446	3336
ENSG00000187122	ENST00000266058	SLIT1	-	246	4605	3074	7925
ENSG00000120057	ENST00000266066	SFRP5	-	119	954	763	1836
ENSG00000101216	ENST00000266068	GMEB2	-	479	1593	2487	4559
ENSG00000101193	ENST00000266069	GID8	+	147	687	3563	4397
ENSG00000125520	ENST00000266077	SLC2A4RG	+	52	1164	515	1731
ENSG00000101161	ENST00000266079	PRPF6	+	111	2826	107	3044
ENSG00000100234	ENST00000266085	TIMP3	+	301	636	3666	4603
ENSG00000100225	ENST00000266087	FBXO7	+	327	1569	299	2195
ENSG00000100170	ENST00000266088	SLC5A1	+	250	1995	2816	5061
ENSG00000119718	ENST00000266126	EIF2B2	+	80	1056	3178	4314
ENSG00000100271	ENST00000266254	TTLL1	-	241	1272	132	1645
ENSG00000242114	ENST00000266263	MTFP1	+	350	501	519	1370
ENSG00000100105	ENST00000266269	PATZ1	-	630	2064	1087	3781
ENSG00000167074	ENST00000266304	TEF	+	116	912	3366	4394
ENSG00000139053	ENST00000266395	PDE6H	+	106	252	389	747
ENSG00000139055	ENST00000266397	ERP27	-	574	822	700	2096
ENSG00000139112	ENST00000266458	GABARAPL1	+	325	354	1278	1957
ENSG00000087470	ENST00000266481	DNM1L	+	61	2100	940	3101
ENSG00000139133	ENST00000266483	ALG10	+	319	1422	1387	3128
ENSG00000139151	ENST00000266505	PLCZ1	-	264	1827	57	2148
ENSG00000139155	ENST00000266509	SLCO1C1	+	368	2139	858	3365
ENSG00000139163	ENST00000266517	ETNK1	+	89	1359	5711	7159
ENSG00000139168	ENST00000266529	ZCRB1	-	184	654	989	1827
ENSG00000139173	ENST00000266534	TMEM117	+	127	1545	1086	2758
ENSG00000139178	ENST00000266542	C1RL	-	93	1464	1837	3394
ENSG00000139180	ENST00000266544	NDUFA9	+	20	1134	7209	8363
ENSG00000139182	ENST00000266546	CLSTN3	+	450	2871	864	4185
ENSG00000139192	ENST00000266556	TAPBPL	+	165	1407	169	1741
ENSG00000139193	ENST00000266557	CD27	+	229	783	326	1338
ENSG00000139194	ENST00000266560	RBP5	-	167	408	437	1012
ENSG00000139211	ENST00000266581	AMIGO2	-	467	1569	1727	3763
ENSG00000139233	ENST00000266604	LLPH	-	71	390	7285	7746
ENSG00000139266	ENST00000266643	MARCH9	+	431	1041	1510	2982
ENSG00000139269	ENST00000266646	INHBE	+	216	1053	1160	2429
ENSG00000139278	ENST00000266659	GLIPR1	+	201	801	4875	5877
ENSG00000139289	ENST00000266671	PHLDA1	-	2191	1206	4672	8069
ENSG00000139291	ENST00000266673	TMEM19	+	594	1011	4051	5656
ENSG00000139292	ENST00000266674	LGR5	+	311	2724	1576	4611
ENSG00000072041	ENST00000266682	SLC6A15	-	542	2193	2144	4879
ENSG00000139324	ENST00000266712	TMTC3	+	220	2745	4238	7203
ENSG00000139329	ENST00000266718	LUM	-	455	1017	1536	3008
ENSG00000139330	ENST00000266719	KERA	-	248	1059	855	2162
ENSG00000120802	ENST00000266732	TMPO	+	238	2085	1292	3615
ENSG00000139343	ENST00000266735	SNRPF	+	146	261	982	1389
ENSG00000139344	ENST00000266736	AMDHD1	+	106	1281	873	2260
ENSG00000139350	ENST00000266742	NEDD1	+	339	1983	1724	4046
ENSG00000139352	ENST00000266744	ASCL1	+	559	711	1202	2472
ENSG00000139370	ENST00000266771	SLC15A4	-	40	1734	1005	2779
ENSG00000139508	ENST00000266943	SLC46A3	-	370	1386	1417	3173
ENSG00000123374	ENST00000266970	CDK2	+	240	897	1159	2296
ENSG00000139540	ENST00000266980	SLC39A5	+	293	1623	115	2031
ENSG00000139546	ENST00000266987	TARBP2	+	483	1101	283	1867
ENSG00000139549	ENST00000266991	DHH	-	307	1191	438	1936
ENSG00000139574	ENST00000267017	NPFF	-	164	342	86	592
ENSG00000139613	ENST00000267064	SMARCC2	-	87	3645	344	4076
ENSG00000244754	ENST00000267068	N4BP2L2	-	165	1752	7510	9427
ENSG00000139625	ENST00000267079	MAP3K12	-	226	2580	1513	4319
ENSG00000139626	ENST00000267082	ITGB7	-	232	2397	238	2867
ENSG00000139631	ENST00000267085	CSAD	-	234	1563	848	2645
ENSG00000065361	ENST00000267101	ERBB3	+	440	4029	1450	5919
ENSG00000139636	ENST00000267102	LMBR1L	-	343	1470	1121	2934
ENSG00000139644	ENST00000267115	TMBIM6	+	85	714	2037	2836
ENSG00000139645	ENST00000267116	ANKRD52	-	122	3231	5335	8688
ENSG00000139648	ENST00000267119	KRT71	-	70	1572	623	2265
ENSG00000139687	ENST00000267163	RB1	+	138	2787	1915	4840
ENSG00000139719	ENST00000267199	VPS33A	-	113	1791	2682	4586
ENSG00000139722	ENST00000267202	VPS37B	-	382	858	1788	3028
ENSG00000139725	ENST00000267205	RHOF	-	629	636	1744	3009
ENSG00000089159	ENST00000267257	PXN	-	142	1818	1875	3835
ENSG00000139767	ENST00000267260	SRRM4	+	388	1836	6253	8477
ENSG00000139797	ENST00000267291	RNF113B	-	29	969	378	1376
ENSG00000139800	ENST00000267294	ZIC5	-	234	1992	2413	4639
ENSG00000139832	ENST00000267328	RAB20	-	214	705	599	1518
ENSG00000088448	ENST00000267339	ANKRD10	-	135	1263	1097	2495
ENSG00000139874	ENST00000267377	SSTR1	+	617	1176	2502	4295
ENSG00000139890	ENST00000267396	REM2	+	123	1023	777	1923
ENSG00000139899	ENST00000267406	CBLN3	-	471	618	1257	2346
ENSG00000092330	ENST00000267415	TINF2	-	342	1356	154	1852
ENSG00000196943	ENST00000267425	NOP9	+	93	1911	4029	6033
ENSG00000139914	ENST00000267426	FITM1	+	289	879	26	1194
ENSG00000187790	ENST00000267430	FANCM	+	85	6147	879	7111
ENSG00000087299	ENST00000267436	L2HGDH	-	398	1392	4624	6414
ENSG00000139946	ENST00000267460	PELI2	+	286	1263	4360	5909
ENSG00000139970	ENST00000267484	RTN1	-	336	2331	768	3435
ENSG00000139971	ENST00000267485	C14orf37	-	195	2325	3975	6495
ENSG00000139974	ENST00000267488	SLC38A6	+	116	1371	201	1688
ENSG00000140022	ENST00000267540	STON2	-	201	2718	58	2977
ENSG00000140030	ENST00000267549	GPR65	+	558	1014	2950	4522
ENSG00000140057	ENST00000267584	AK7	+	44	2172	1084	3300
ENSG00000100605	ENST00000267615	ITPK1	-	174	1245	4647	6066
ENSG00000100815	ENST00000267622	TRIP11	-	374	5940	3682	9996
ENSG00000128463	ENST00000267750	EMC4	+	116	552	368	1036
ENSG00000137871	ENST00000267807	ZNF280D	-	217	2940	1171	4328
ENSG00000140259	ENST00000267812	MFAP1	-	233	1320	602	2155
ENSG00000140263	ENST00000267814	SORD	+	180	1074	3655	4909
ENSG00000140280	ENST00000267838	LYSMD2	-	515	648	596	1759
ENSG00000140284	ENST00000267842	SLC27A2	+	232	1863	299	2394
ENSG00000140285	ENST00000267843	FGF7	+	611	585	4271	5467
ENSG00000140287	ENST00000267845	HDC	-	403	1989	313	2705
ENSG00000263155	ENST00000267853	MYZAP	+	94	1401	866	2361
ENSG00000051180	ENST00000267868	RAD51	+	268	1020	1161	2449
ENSG00000140319	ENST00000267884	SRP14	-	72	411	594	1077
ENSG00000140323	ENST00000267889	DISP2	+	87	4206	8321	12614
ENSG00000128881	ENST00000267890	TTBK2	-	109	3735	7061	10905
ENSG00000140365	ENST00000267935	COMMD4	+	199	600	268	1067
ENSG00000140367	ENST00000267938	UBE2Q2	+	382	1128	1620	3130
ENSG00000140379	ENST00000267953	BCL2A1	-	327	528	178	1033
ENSG00000140391	ENST00000267970	TSPAN3	-	274	762	5431	6467
ENSG00000140395	ENST00000267973	WDR61	-	272	918	197	1387
ENSG00000140400	ENST00000267978	MAN2C1	-	47	3123	114	3284
ENSG00000140406	ENST00000267984	MESDC1	+	1328	1089	2428	4845
ENSG00000140443	ENST00000268035	IGF1R	+	611	4104	7088	11803
ENSG00000140450	ENST00000268042	ARRDC4	+	164	1257	2651	4072
ENSG00000140451	ENST00000268043	PIF1	-	95	1926	666	2687
ENSG00000140459	ENST00000268053	CYP11A1	-	155	1566	213	1934
ENSG00000140463	ENST00000268057	BBS4	+	41	1560	889	2490
ENSG00000140464	ENST00000268058	PML	+	96	2649	1763	4508
ENSG00000140470	ENST00000268070	ADAMTS17	-	106	3288	2813	6207
ENSG00000213614	ENST00000268097	HEXA	-	504	1590	3158	5252
ENSG00000140497	ENST00000268099	SCAMP2	-	110	990	1353	2453
ENSG00000140519	ENST00000268122	RHCG	-	69	1440	473	1982
ENSG00000140521	ENST00000268124	POLG	-	334	3720	446	4500
ENSG00000140522	ENST00000268125	RLBP1	-	440	954	416	1810
ENSG00000140527	ENST00000268130	WDR93	+	101	2061	247	2409
ENSG00000140534	ENST00000268138	TICRR	+	105	5733	937	6775
ENSG00000140543	ENST00000268148	DET1	-	146	1653	468	2267
ENSG00000140545	ENST00000268150	MFGE8	-	92	1164	681	1937
ENSG00000140548	ENST00000268154	ZNF710	+	251	1995	2371	4617
ENSG00000140557	ENST00000268164	ST8SIA2	+	237	1128	4343	5708
ENSG00000140575	ENST00000268182	IQGAP1	+	124	4974	2135	7233
ENSG00000140598	ENST00000268206	EFL1	-	169	3363	143	3675
ENSG00000140612	ENST00000268220	SEC11A	-	641	540	475	1656
ENSG00000140623	ENST00000268231	SEPT12	-	264	1077	128	1469
ENSG00000140650	ENST00000268261	PMM2	+	66	741	1506	2313
ENSG00000178226	ENST00000268281	PRSS36	-	59	2568	213	2840
ENSG00000140678	ENST00000268296	ITGAX	+	121	3492	1090	4703
ENSG00000140740	ENST00000268379	UQCRC2	+	764	1362	489	2615
ENSG00000140743	ENST00000268383	CDR2	-	308	1365	1029	2702
ENSG00000140749	ENST00000268389	IGSF6	-	62	726	1997	2785
ENSG00000140807	ENST00000268459	NKD1	+	224	1413	15468	17105
ENSG00000140829	ENST00000268482	DHX38	+	509	3684	415	4608
ENSG00000140830	ENST00000268483	TXNL4B	-	322	450	1784	2556
ENSG00000140832	ENST00000268485	MARVELD3	+	44	1206	1662	2912
ENSG00000140836	ENST00000268489	ZFHX3	-	673	11112	4279	16064
ENSG00000140876	ENST00000268533	NUDT7	+	69	717	310	1096
