ENS_ID	Sym	scr.TNF.vs.veh.logR	RELA.TNF.vs.veh.logR	RELA.TNF.rep1vs3.logR	RELA.TNF.rep1vs2.logR	RELA.TNF.rep2vs3.logR
ENSG00000129596	CDO1	0.068	0.047	0.72	0.518	0.201
ENSG00000064309	CDON	0.064	0.094	0.243	0.217	0.026
ENSG00000205643	CDPF1	0.197	-0.691	-0.661	-0.094	-0.567
ENSG00000140743	CDR2	0.073	0.154	0.31	-0.314	0.624
ENSG00000109089	CDR2L	-0.021	-0.052	-0.249	-0.087	-0.162
ENSG00000101290	CDS2	-0.309	-0.023	0.022	0.324	-0.302
ENSG00000091527	CDV3	-0.092	0.038	0.056	-0.081	0.137
ENSG00000153046	CDYL	0.06	-0.283	-0.727	-0.557	-0.171
ENSG00000166446	CDYL2	-0.084	0.122	0.229	0.5	-0.272
ENSG00000245848	CEBPA	-0.034	-0.447	-1	-2.912	1.912
ENSG00000172216	CEBPB	-0.154	0.369	0.009	-0.882	0.891
ENSG00000221869	CEBPD	0.68	0.368	-0.232	-1.47	1.238
ENSG00000153879	CEBPG	-0.238	-0.03	-0.083	-0.418	0.335
ENSG00000115816	CEBPZ	0.071	-0.019	0.365	-0.299	0.664
ENSG00000218739	CEBPZOS	-0.196	0.121	0.25	0.171	0.078
ENSG00000069998	CECR5	0.127	-0.092	-0.138	-0.015	-0.123
ENSG00000149187	CELF1	-0.018	0.241	0.47	0.397	0.072
ENSG00000048740	CELF2	-0.215	0.61	0.501	1.148	-0.648
ENSG00000125817	CENPB	0.099	-0.328	-0.134	-0.375	0.242
ENSG00000213753	CENPBD1P1	0.035	0.049	-0.031	0.248	-0.279
ENSG00000153044	CENPH	-0.223	-0.223	0.052	-0.471	0.522
ENSG00000102384	CENPI	0.079	-0.21	-0.469	-0.423	-0.047
ENSG00000120334	CENPL	-0.003	-0.126	-0.07	0.128	-0.198
ENSG00000166451	CENPN	-0.106	-0.018	-0.497	-0.391	-0.106
ENSG00000031691	CENPQ	-0.461	-0.189	0.768	-0.139	0.907
ENSG00000102901	CENPT	0.172	-0.279	-0.29	-0.558	0.268
ENSG00000166582	CENPV	-0.154	-0.25	-0.669	-0.645	-0.023
ENSG00000203760	CENPW	0.199	-0.085	-0.534	0.033	-0.566
ENSG00000116198	CEP104	-0.017	0.205	0.403	0.459	-0.056
ENSG00000168944	CEP120	0.324	-0.093	0.013	-0.263	0.276
ENSG00000110318	CEP126	0.056	0.474	0.725	0.679	0.046
ENSG00000141577	CEP131	0.344	-0.37	-1.157	-1.382	0.225
ENSG00000110274	CEP164	0.067	-0.296	-0.478	-0.332	-0.147
ENSG00000143702	CEP170	-0.231	0.027	0.212	0.122	0.089
ENSG00000099814	CEP170B	0.123	0.198	0.343	0.631	-0.288
ENSG00000174007	CEP19	0.112	-0.527	-0.11	0.196	-0.306
ENSG00000101639	CEP192	-0.141	-0.196	-0.279	-0.501	0.222
ENSG00000126001	CEP250	0.021	-0.172	-0.049	-0.299	0.25
ENSG00000166004	CEP295	-0.017	0.211	0.494	-0.091	0.585
ENSG00000135837	CEP350	0.289	0.323	0.584	0.225	0.359
ENSG00000164118	CEP44	-0.083	-0.097	0.241	-0.141	0.382
ENSG00000166037	CEP57	-0.041	-0.194	0.088	-0.337	0.425
ENSG00000183137	CEP57L1	-0.137	-0.198	0.149	0.058	0.091
ENSG00000182923	CEP63	-0.118	-0.11	0.15	0.15	0
ENSG00000011523	CEP68	-0.092	0.172	0.298	0.526	-0.228
ENSG00000114107	CEP70	-0.07	-0.313	-0.348	-0.992	0.644
ENSG00000101624	CEP76	-0.29	-0.363	-0.503	-0.737	0.234
ENSG00000130695	CEP85	-0.062	-0.281	0.037	-0.024	0.061
ENSG00000111860	CEP85L	-0.14	-0.136	-0.197	-0.674	0.477
ENSG00000121289	CEP89	-0.099	-0.135	-0.322	-0.087	-0.234
ENSG00000182504	CEP97	-0.23	-0.282	-0.225	-0.475	0.25
ENSG00000134255	CEPT1	-0.216	-0.115	-0.2	0.152	-0.352
ENSG00000167123	CERCAM	0.066	0.04	0.172	0.314	-0.141
ENSG00000100422	CERK	-0.021	-0.248	-0.146	-0.05	-0.097
ENSG00000143418	CERS2	-0.256	0.098	0.249	0.904	-0.654
ENSG00000139624	CERS5	0.063	0.112	0.298	0.731	-0.433
ENSG00000172292	CERS6	-0.306	0.023	-0.244	0.133	-0.377
ENSG00000198848	CES1	0.13	0.187	0.304	-0.12	0.423
ENSG00000172831	CES2	0.07	-0.062	-0.419	-0.403	-0.015
ENSG00000147400	CETN2	0.007	-0.36	-0.265	-0.406	0.141
ENSG00000153140	CETN3	-0.138	-0.451	-0.707	-1.396	0.689
ENSG00000070761	CFAP20	-0.136	-0.183	-0.498	-0.341	-0.157
ENSG00000163001	CFAP36	-0.073	-0.25	-0.011	-0.349	0.339
ENSG00000164323	CFAP97	-0.267	-0.084	0.182	-0.106	0.288
ENSG00000197766	CFD	0.246	-0.404	-0.012	-1.137	1.124
ENSG00000153774	CFDP1	-0.112	-0.376	-0.43	-0.565	0.136
ENSG00000000971	CFH	0.14	-0.018	0.094	-0.509	0.603
ENSG00000172757	CFL1	0.042	-0.105	-0.164	0.34	-0.504
ENSG00000165410	CFL2	-0.321	0.097	0.426	0.383	0.043
ENSG00000003402	CFLAR	0.266	0.279	0.453	0.345	0.108
ENSG00000163320	CGGBP1	-0.315	-0.008	0.553	0.499	0.054
ENSG00000100532	CGRRF1	-0.173	-0.229	-0.509	-0.156	-0.353
ENSG00000143942	CHAC2	0.132	0.29	-0.031	-0.62	0.588
ENSG00000136457	CHAD	-0.409	-0.161	0.225	-0.131	0.356
ENSG00000167670	CHAF1A	-0.009	-0.487	-0.387	-0.489	0.102
ENSG00000198824	CHAMP1	-0.68	0.27	0.372	1.021	-0.65
ENSG00000172586	CHCHD1	-0.017	-0.222	-0.58	-0.866	0.286
ENSG00000250479	CHCHD10	0.075	0.233	0.196	-0.018	0.213
ENSG00000106153	CHCHD2	0.061	-0.17	-0.047	-0.144	0.097
ENSG00000106554	CHCHD3	0.035	-0.319	-0.166	-0.05	-0.116
ENSG00000163528	CHCHD4	-0.21	-0.205	-0.162	-0.028	-0.134
ENSG00000125611	CHCHD5	0.048	-0.182	0.053	0.095	-0.041
ENSG00000159685	CHCHD6	0.165	-0.698	-0.476	-0.564	0.087
ENSG00000170791	CHCHD7	-0.037	-0.37	-0.195	-0.662	0.467
ENSG00000153922	CHD1	0.138	0.335	0.765	0.075	0.69
ENSG00000131778	CHD1L	0.127	-0.102	0.051	0.095	-0.044
ENSG00000170004	CHD3	-0.125	0.068	0.387	0.657	-0.27
ENSG00000111642	CHD4	0.083	0.149	0.406	0.427	-0.021
ENSG00000124177	CHD6	0.046	0.269	0.395	0.478	-0.084
ENSG00000100888	CHD8	-0.15	0.154	0.462	0.511	-0.049
ENSG00000177200	CHD9	-0.078	0.369	0.68	0.303	0.378
ENSG00000072609	CHFR	0.234	-0.215	-0.537	-0.35	-0.187
ENSG00000064886	CHI3L2	-0.008	-0.244	-0.168	0.708	-0.876
ENSG00000109220	CHIC2	0.07	0.019	-0.378	-0.513	0.135
ENSG00000177830	CHID1	0.248	0.139	-0.117	0.179	-0.295
ENSG00000110721	CHKA	-0.262	-0.075	0.411	0.596	-0.185
ENSG00000188419	CHM	-0.105	0	-0.115	-0.487	0.372
ENSG00000131165	CHMP1A	0.112	-0.077	-0.443	-0.256	-0.186
ENSG00000255112	CHMP1B	-0.1	-0.18	-0.02	0.193	-0.214
ENSG00000130724	CHMP2A	0.033	-0.317	-0.157	0.014	-0.171
ENSG00000083937	CHMP2B	-0.057	-0.298	-0.159	-0.341	0.182
ENSG00000115561	CHMP3	-0.154	-0.243	-0.067	0.108	-0.175
ENSG00000101421	CHMP4B	0.036	0.094	1	0.272	0.728
ENSG00000086065	CHMP5	0.008	-0.357	-0.51	-0.848	0.339
ENSG00000176108	CHMP6	0.431	-0.049	-0.538	-0.182	-0.356
ENSG00000147457	CHMP7	0.218	-0.19	-0.206	-0.018	-0.188
ENSG00000128656	CHN1	-0.083	-0.153	-0.886	-0.768	-0.117
ENSG00000187446	CHP1	-0.113	0.173	0.282	0.866	-0.584
ENSG00000123989	CHPF	0.223	-0.031	0.444	0.219	0.225
ENSG00000033100	CHPF2	0.048	0.257	0.573	0.457	0.116
ENSG00000111666	CHPT1	-0.207	-0.207	-0.136	0.019	-0.155
ENSG00000104472	CHRAC1	-0.08	-0.26	0.155	-0.15	0.304
ENSG00000101938	CHRDL1	0.003	0.257	0.327	0.23	0.097
ENSG00000171310	CHST11	0.225	0	0.055	0.456	-0.401
ENSG00000169105	CHST14	0.254	-0.048	0.241	0.453	-0.212
ENSG00000175040	CHST2	0.771	0.284	0.386	0.191	0.195
ENSG00000122863	CHST3	-0.113	0.193	0.532	0.267	0.264
ENSG00000147119	CHST7	-0.048	-0.666	-0.879	-1.129	0.25
ENSG00000131873	CHSY1	-0.093	-0.037	-0.115	0.159	-0.274
ENSG00000198108	CHSY3	0.173	-0.167	-0.284	-0.265	-0.019
ENSG00000168802	CHTF8	-0.149	0.549	0.898	0.937	-0.039
ENSG00000160679	CHTOP	0.016	0.133	0.565	0.406	0.16
ENSG00000213341	CHUK	-0.058	-0.082	-0.046	-0.344	0.298
ENSG00000258289	CHURC1	-0.16	-0.187	0.221	0.042	0.179
ENSG00000144021	CIAO1	0.012	0.002	0.003	-0.085	0.088
ENSG00000005194	CIAPIN1	0.109	-0.058	-0.393	-0.212	-0.181
ENSG00000185043	CIB1	0.171	0.19	0.273	0.318	-0.046
ENSG00000079432	CIC	0.127	1.181	1.229	1.887	-0.658
ENSG00000187288	CIDEC	-0.015	-0.117	-0.321	-0.199	-0.122
ENSG00000186162	CIDECP	-0.037	-0.286	-0.148	0.068	-0.216
ENSG00000138615	CILP	-0.198	0.057	-0.145	0.011	-0.156
ENSG00000100865	CINP	0.029	-0.338	-0.473	-0.35	-0.123
ENSG00000198894	CIPC	-0.294	-0.175	-0.01	0.045	-0.055
ENSG00000138433	CIR1	0.06	0.202	0.93	0.368	0.562
ENSG00000099622	CIRBP	0.061	-0.296	-0.697	-0.839	0.142
ENSG00000141076	CIRH1A	-0.115	0.206	0.552	0.773	-0.22
ENSG00000122873	CISD1	0.022	-0.451	-0.762	-0.755	-0.007
ENSG00000145354	CISD2	-0.206	-0.445	-0.71	-1.07	0.36
ENSG00000125931	CITED1	0.932	0.339	0.494	0.084	0.411
ENSG00000164442	CITED2	-0.537	-0.161	0.011	-0.106	0.118
ENSG00000179862	CITED4	0.04	-0.342	-0.429	-1.129	0.699
ENSG00000148337	CIZ1	0.055	0.28	0.359	0.873	-0.514
ENSG00000136108	CKAP2	-0.532	-0.049	0.828	0.485	0.342
ENSG00000136026	CKAP4	-0.014	0.004	0.471	0.49	-0.019
ENSG00000175216	CKAP5	-0.038	0.082	0.285	0.231	0.053
ENSG00000166165	CKB	0.208	0.418	0.462	0.465	-0.003
ENSG00000131730	CKMT2	0.139	0.034	-0.094	0.203	-0.297
ENSG00000247572	CKMT2-AS1	0.055	0.297	0.762	0.94	-0.178
ENSG00000173207	CKS1B	-0.175	-0.278	-0.291	-0.126	-0.166
ENSG00000123975	CKS2	-0.046	-0.016	-0.441	-0.495	0.054
ENSG00000074054	CLASP1	-0.185	0.101	0.566	0.71	-0.144
ENSG00000163539	CLASP2	-0.092	-0.17	-0.421	-0.39	-0.032
ENSG00000104859	CLASRP	0.107	-0.284	0.327	-0.101	0.428
ENSG00000137975	CLCA2	-0.056	0.074	-0.345	-0.149	-0.196
ENSG00000121940	CLCC1	-0.062	-0.199	-0.21	-0.316	0.106
ENSG00000109572	CLCN3	-0.17	0.109	0.283	0.235	0.048
ENSG00000073464	CLCN4	0.127	-0.044	-0.25	-0.013	-0.237
ENSG00000171365	CLCN5	-0.159	0.009	-0.02	0.144	-0.164
ENSG00000011021	CLCN6	-0.151	0.378	0.561	1.04	-0.479
ENSG00000103249	CLCN7	0.141	0.212	0.86	0.529	0.331
ENSG00000013297	CLDN11	-0.225	-0.04	-0.014	-0.126	0.112
ENSG00000157224	CLDN12	-0.239	-0.361	-0.245	-0.361	0.115
ENSG00000080822	CLDND1	-0.174	0.053	-0.133	0.166	-0.298
ENSG00000105472	CLEC11A	0.404	-0.363	-1.184	-1.835	0.651
ENSG00000038532	CLEC16A	0.179	0.168	0.11	0.485	-0.375
ENSG00000163815	CLEC3B	-0.003	-0.266	-0.9	-1.885	0.985
ENSG00000169504	CLIC4	-0.096	0.223	0.625	0.159	0.467
ENSG00000113282	CLINT1	-0.021	0.291	0.514	0.405	0.11
ENSG00000130779	CLIP1	0.054	0.147	0.493	0.262	0.231
ENSG00000106665	CLIP2	0.349	-0.136	-0.22	-0.22	0
ENSG00000105270	CLIP3	-0.042	1.84	1.359	2.386	-1.027
ENSG00000115295	CLIP4	-0.233	-0.062	0.041	-0.205	0.246
ENSG00000013441	CLK1	0.127	0.202	0.334	-0.641	0.975
ENSG00000176444	CLK2	0.01	0.132	0.229	0.267	-0.038
ENSG00000179335	CLK3	0.1	0	0.304	0.434	-0.13
ENSG00000113240	CLK4	0.356	0.587	0.417	0	0.417
ENSG00000165959	CLMN	-0.067	0.067	0.437	0.497	-0.06
ENSG00000166250	CLMP	-0.144	0.44	0.856	0.758	0.098
ENSG00000102805	CLN5	0.279	-0.093	-0.023	-0.398	0.375
ENSG00000182372	CLN8	0.148	-0.099	0.158	0.171	-0.014
ENSG00000074201	CLNS1A	-0.03	-0.209	-0.29	-0.449	0.16
ENSG00000134852	CLOCK	-0.147	-0.035	0.591	0.377	0.214
ENSG00000172409	CLP1	-0.022	-0.114	-0.678	-0.445	-0.233
ENSG00000162129	CLPB	0.268	-0.066	-0.322	-0.11	-0.213
ENSG00000125656	CLPP	0.198	-0.151	-0.4	0.028	-0.428
ENSG00000104853	CLPTM1	-0.013	0.828	0.741	1.76	-1.019
ENSG00000049656	CLPTM1L	0.063	-0.092	-0.411	-0.325	-0.086
ENSG00000166855	CLPX	-0.063	0.15	0.414	0.38	0.034
ENSG00000171603	CLSTN1	-0.113	0.705	0.864	1.128	-0.265
ENSG00000122705	CLTA	0.08	-0.363	-0.596	-0.803	0.207
ENSG00000175416	CLTB	0.225	-0.36	-0.74	-0.697	-0.043
ENSG00000141367	CLTC	-0.079	0.413	0.594	0.486	0.108
ENSG00000070371	CLTCL1	0.088	0.073	0.114	0.243	-0.129
ENSG00000120885	CLU	0.238	-0.102	0.071	0.073	-0.002
ENSG00000103351	CLUAP1	-0.217	-0.575	-0.368	-0.348	-0.02
ENSG00000132361	CLUH	0.351	0.528	0.807	0.852	-0.045
ENSG00000111726	CMAS	-0.1	-0.133	0.064	-0.294	0.358
ENSG00000164237	CMBL	-0.125	0.551	0.734	1.145	-0.412
ENSG00000162368	CMPK1	-0.118	-0.031	0.072	-0.335	0.407
ENSG00000184220	CMSS1	-0.022	-0.388	-0.379	-0.511	0.131
ENSG00000140931	CMTM3	-0.086	0.304	0.004	0.366	-0.363
ENSG00000183723	CMTM4	-0.251	0.315	0.601	1.011	-0.41
ENSG00000091317	CMTM6	-0.142	-0.033	-0.11	-0.517	0.407
ENSG00000153551	CMTM7	0.007	-0.143	-0.495	-0.24	-0.256
ENSG00000137200	CMTR1	0.008	-0.094	-0.149	-0.075	-0.074
ENSG00000180917	CMTR2	-0.307	-0.208	-0.062	-0.544	0.482
ENSG00000164309	CMYA5	0.202	0.727	1.71	1.195	0.515
ENSG00000169714	CNBP	-0.166	-0.031	0.268	-0.038	0.306
ENSG00000133313	CNDP2	0.128	0.516	0.631	0.898	-0.268
ENSG00000205423	CNEP1R1	-0.118	0.195	-0.611	-0.061	-0.55
ENSG00000100528	CNIH1	-0.195	0.015	-0.118	-0.004	-0.114
ENSG00000143771	CNIH4	-0.344	-0.173	-0.853	-0.656	-0.197
ENSG00000064666	CNN2	0.043	0.384	0.058	0.346	-0.288
ENSG00000117519	CNN3	0.06	0.135	0.015	-0.036	0.051
ENSG00000168763	CNNM3	-0.184	0.352	0.397	0.551	-0.154
ENSG00000125107	CNOT1	-0.143	0.533	0.777	0.949	-0.172
ENSG00000182973	CNOT10	-0.184	-0.146	-0.49	-0.232	-0.257
ENSG00000158435	CNOT11	0.007	-0.209	-0.532	-0.439	-0.093
ENSG00000111596	CNOT2	-0.216	-0.188	-0.238	-0.264	0.026
ENSG00000080802	CNOT4	-0.43	0.248	0.302	0.208	0.094
ENSG00000113300	CNOT6	-0.367	0.536	0.838	0.966	-0.128
ENSG00000138767	CNOT6L	-0.29	0.186	0.428	0.572	-0.144
ENSG00000198791	CNOT7	-0.183	-0.141	-0.206	-0.241	0.035
ENSG00000155508	CNOT8	-0.069	-0.076	-0.251	-0.233	-0.018
ENSG00000173786	CNP	0.117	0.012	-0.123	0.279	-0.402
ENSG00000115649	CNPPD1	0.014	-0.193	-0.288	-0.139	-0.149
ENSG00000257727	CNPY2	-0.003	-0.057	-0.415	-0.115	-0.3
ENSG00000137161	CNPY3	0.03	-0.244	-0.82	-0.548	-0.272
ENSG00000166997	CNPY4	-0.167	-0.025	-0.72	-0.286	-0.435
ENSG00000118432	CNR1	-0.25	0.275	0.75	-0.771	1.521
ENSG00000119865	CNRIP1	-0.26	-0.124	0.054	-0.288	0.342
ENSG00000162852	CNST	-0.221	-0.046	0.091	-0.013	0.104
ENSG00000122756	CNTFR	0.11	0.517	0.761	0.867	-0.106
ENSG00000113805	CNTN3	-0.439	0.161	0.506	0.386	0.12
ENSG00000108797	CNTNAP1	0	0.848	1.238	1.134	0.104
ENSG00000119397	CNTRL	-0.041	0.01	0.157	-0.279	0.436
ENSG00000170037	CNTROB	-0.09	-0.262	-0.05	-0.013	-0.037
ENSG00000106603	COA1	0.077	-0.088	-0.236	0.126	-0.363
ENSG00000183978	COA3	0.017	-0.191	-0.499	-0.053	-0.445
ENSG00000181924	COA4	-0.051	-0.305	-0.476	-0.252	-0.224
ENSG00000183513	COA5	-0.007	-0.392	-0.746	-0.985	0.239
ENSG00000168275	COA6	-0.086	-0.327	-0.759	-0.899	0.14
ENSG00000162377	COA7	-0.139	-0.005	0.01	0.035	-0.025
ENSG00000068120	COASY	-0.016	0.152	0.701	1.252	-0.551
ENSG00000082438	COBLL1	-0.032	0.1	0.098	0.189	-0.091
ENSG00000166685	COG1	0.131	0.165	0.129	0.172	-0.043
ENSG00000135775	COG2	-0.089	-0.182	-0.443	-0.286	-0.157
ENSG00000136152	COG3	-0.164	-0.077	-0.069	-0.118	0.049
ENSG00000103051	COG4	0.163	-0.177	-0.428	-0.338	-0.09
ENSG00000164597	COG5	-0.069	0.015	0.028	-0.018	0.046
ENSG00000133103	COG6	-0.259	-0.067	-0.006	-0.209	0.202
ENSG00000168434	COG7	0.124	0.2	0.199	0.616	-0.417
ENSG00000121058	COIL	-0.265	-0.271	-0.446	-0.599	0.153
ENSG00000111799	COL12A1	0.136	0.688	0.507	0.961	-0.454
ENSG00000204291	COL15A1	0.169	0.193	0.795	0.907	-0.113
ENSG00000084636	COL16A1	0.44	-0.034	0.164	-0.003	0.166
ENSG00000182871	COL18A1	0.278	0.072	0.511	0.16	0.35
ENSG00000108821	COL1A1	-0.093	1.399	1.167	1.954	-0.787
ENSG00000164692	COL1A2	0.009	0.752	0.972	0.972	0
ENSG00000168542	COL3A1	0.033	0.307	0.525	0.355	0.169
ENSG00000187498	COL4A1	0.167	0.225	0.743	0.4	0.343
ENSG00000134871	COL4A2	0.175	0.389	1.009	0.839	0.17
ENSG00000113163	COL4A3BP	-0.196	0.512	0.927	0.984	-0.057
ENSG00000197565	COL4A6	-0.18	-0.085	0.016	-0.268	0.285
ENSG00000130635	COL5A1	0.084	0.88	1.384	1.714	-0.33
ENSG00000204262	COL5A2	0.139	-0.103	0	-0.24	0.24
ENSG00000080573	COL5A3	0.127	0.439	1.073	1.307	-0.234
ENSG00000142156	COL6A1	0.067	0.541	0.972	1.109	-0.137
ENSG00000142173	COL6A2	0.158	0.12	0.503	0.415	0.088
ENSG00000163359	COL6A3	-0.136	0.74	1.291	1.079	0.211
ENSG00000114270	COL7A1	0.155	0.044	0.65	-0.394	1.044
ENSG00000158270	COLEC12	-0.007	0.237	0.608	-0.448	1.056
ENSG00000130309	COLGALT1	0.174	0.368	0.538	0.671	-0.133
ENSG00000173163	COMMD1	0.049	-0.262	-0.857	-0.659	-0.198
ENSG00000145781	COMMD10	-0.018	-0.027	-0.469	-0.573	0.103
ENSG00000114744	COMMD2	-0.134	-0.174	-0.282	-0.503	0.221
ENSG00000148444	COMMD3	0.217	-0.078	-0.889	-0.882	-0.007
ENSG00000140365	COMMD4	0.07	-0.269	-0.359	-0.407	0.048
ENSG00000170619	COMMD5	0.412	-0.187	-0.493	-0.419	-0.073
ENSG00000188243	COMMD6	-0.01	-0.225	-0.607	-0.706	0.099
ENSG00000149600	COMMD7	-0.006	-0.249	-0.452	-0.412	-0.04
ENSG00000169019	COMMD8	-0.064	-0.154	-0.242	-1.238	0.996
ENSG00000110442	COMMD9	0	-0.265	-0.697	-0.392	-0.305
ENSG00000093010	COMT	0.122	-0.157	-0.617	-0.172	-0.445
ENSG00000165644	COMTD1	0.028	-0.719	-0.689	-1.153	0.464
ENSG00000122218	COPA	-0.095	0.084	0.135	0.349	-0.214
ENSG00000129083	COPB1	-0.1	-0.079	0.011	-0.39	0.401
ENSG00000184432	COPB2	-0.068	-0.085	0.034	-0.097	0.131
ENSG00000105669	COPE	0.359	-0.245	-0.674	-0.515	-0.159
ENSG00000181789	COPG1	-0.048	0.061	0.118	0.309	-0.191
ENSG00000158623	COPG2	-0.045	-0.064	0.195	0.427	-0.232
ENSG00000172301	COPRS	0.048	-0.355	-0.553	-0.345	-0.208
ENSG00000166200	COPS2	-0.136	0.245	0.813	0.456	0.357
ENSG00000141030	COPS3	-0.173	-0.112	-0.333	-0.371	0.037
ENSG00000138663	COPS4	-0.179	-0.289	-0.401	-0.579	0.179
ENSG00000121022	COPS5	0.085	-0.213	-0.323	-0.47	0.147
ENSG00000168090	COPS6	-0.034	0.391	0.811	1.066	-0.255
ENSG00000111652	COPS7A	0.067	-0.1	-0.093	0.012	-0.105
ENSG00000144524	COPS7B	0.102	0.226	0.156	0.37	-0.215
ENSG00000198612	COPS8	-0.296	-0.164	-0.09	-0.35	0.26
ENSG00000111481	COPZ1	-0.146	-0.218	-0.247	-0.048	-0.2
ENSG00000005243	COPZ2	-0.093	-0.229	-0.476	-0.385	-0.091
ENSG00000135469	COQ10A	-0.097	0.107	-0.366	-0.325	-0.042
ENSG00000115520	COQ10B	-0.142	0.049	0.131	-0.281	0.412
ENSG00000173085	COQ2	-0.004	-0.055	-0.205	-0.149	-0.056
ENSG00000132423	COQ3	0.189	-0.085	-0.301	0.016	-0.317
ENSG00000167113	COQ4	0.183	-0.222	-0.645	-0.231	-0.414
ENSG00000110871	COQ5	-0.049	-0.126	-0.156	-0.367	0.211
ENSG00000119723	COQ6	0.213	-0.099	-0.325	-0.212	-0.113
ENSG00000167186	COQ7	-0.319	-0.158	-0.111	-0.119	0.008
ENSG00000088682	COQ9	0.14	-0.09	-0.248	-0.059	-0.189
ENSG00000172725	CORO1B	0.126	-0.186	-0.04	-0.243	0.203
ENSG00000110880	CORO1C	-0.077	0.44	0.738	0.995	-0.257
ENSG00000103647	CORO2B	-0.026	0.449	0.878	0.952	-0.074
ENSG00000167549	CORO6	0.152	0.093	0.754	-0.465	1.219
ENSG00000103187	COTL1	0.299	0.368	0.049	0.121	-0.072
ENSG00000006695	COX10	-0.066	-0.148	-0.311	0.204	-0.514
ENSG00000166260	COX11	-0.097	-0.193	-0.267	-0.286	0.019
ENSG00000178449	COX14	-0.029	-0.122	0.547	0.107	0.44
ENSG00000014919	COX15	-0.083	-0.162	-0.343	-0.092	-0.251
ENSG00000138495	COX17	0.134	-0.228	-0.351	-0.385	0.034
ENSG00000163626	COX18	-0.018	-0.046	-0.288	-0.003	-0.284
ENSG00000131143	COX4I1	0.209	-0.249	-0.289	-0.133	-0.156
ENSG00000178741	COX5A	-0.101	0.037	0.193	0.231	-0.038
ENSG00000135940	COX5B	0.072	-0.285	-0.613	-0.699	0.086
ENSG00000111775	COX6A1	-0.037	-0.179	-0.549	-0.295	-0.254
ENSG00000126267	COX6B1	0.05	-0.221	-0.634	-0.021	-0.613
ENSG00000164919	COX6C	-0.07	-0.368	-0.257	-0.739	0.482
ENSG00000161281	COX7A1	0.117	-0.38	-0.487	-0.821	0.335
ENSG00000112695	COX7A2	0.036	-0.268	-0.345	-0.174	-0.171
ENSG00000115944	COX7A2L	-0.121	-0.353	-0.453	-0.245	-0.208
ENSG00000131174	COX7B	-0.115	-0.27	-0.344	-0.418	0.073
ENSG00000127184	COX7C	-0.154	-0.223	-0.12	-0.34	0.22
ENSG00000176340	COX8A	0.011	-0.031	-0.224	0.294	-0.519
ENSG00000108582	CPD	-0.11	0.205	0.202	0.113	0.088
ENSG00000109472	CPE	-0.062	-0.151	-0.277	-0.119	-0.158
ENSG00000137449	CPEB2	-0.256	0.839	1.111	1.025	0.086
ENSG00000113742	CPEB4	-0.307	0.2	0.327	0.244	0.083
ENSG00000106034	CPED1	0.139	0.219	0.18	0.252	-0.072
ENSG00000135678	CPM	-0.167	0.305	0.444	0.675	-0.231
ENSG00000214078	CPNE1	-0.099	0.064	-0.192	0.05	-0.242
ENSG00000140848	CPNE2	0.02	-0.076	-0.157	0.415	-0.572
ENSG00000085719	CPNE3	-0.149	0.105	0.41	0.267	0.143
ENSG00000178773	CPNE7	0.242	-0.139	-0.988	-0.551	-0.436
ENSG00000139117	CPNE8	0.043	0.078	0.142	-0.207	0.349
ENSG00000080819	CPOX	0.084	0.189	-0.258	-0.449	0.192
ENSG00000103381	CPPED1	-0.09	0.253	0.113	0.196	-0.082
ENSG00000104324	CPQ	0.009	-0.033	-0.411	-0.199	-0.212
ENSG00000021826	CPS1	-0.081	-0.029	-0.035	-0.058	0.023
ENSG00000071894	CPSF1	0.161	0.272	0.837	0.672	0.165
ENSG00000165934	CPSF2	-0.141	-0.09	-0.077	-0.3	0.223
ENSG00000119203	CPSF3	-0.072	-0.175	-0.339	-0.378	0.039
ENSG00000127054	CPSF3L	0.198	-0.147	-0.219	-0.147	-0.071
ENSG00000160917	CPSF4	-0.14	-0.264	-0.272	-0.159	-0.113
ENSG00000111605	CPSF6	-0.167	0.011	-0.11	-0.052	-0.058
ENSG00000149532	CPSF7	0.108	0.372	0.751	0.975	-0.224
ENSG00000110090	CPT1A	-0.062	0.397	0.04	0.74	-0.7
ENSG00000157184	CPT2	0.079	-0.149	-0.314	-0.097	-0.217
ENSG00000224051	CPTP	0.164	-0.173	-0.652	-0.463	-0.189
ENSG00000143320	CRABP2	-0.022	-0.233	-0.236	-0.289	0.053
ENSG00000169372	CRADD	-0.039	-0.337	-0.662	-0.793	0.13
ENSG00000095321	CRAT	0.075	0.246	0.378	0.782	-0.403
ENSG00000113851	CRBN	-0.159	-0.249	-0.243	-0.363	0.12
ENSG00000241258	CRCP	-0.14	-0.118	0.038	0.017	0.021
ENSG00000118260	CREB1	-0.241	0.06	0.147	0.202	-0.055
ENSG00000107175	CREB3	0.226	0.084	-0.321	-0.128	-0.193
ENSG00000157613	CREB3L1	-0.202	0.56	0.914	1.274	-0.36
ENSG00000182158	CREB3L2	-0.087	0.765	0.936	1.127	-0.191
ENSG00000005339	CREBBP	-0.102	0.705	1.064	1.585	-0.521
ENSG00000111269	CREBL2	-0.178	-0.225	-0.352	-0.34	-0.012
ENSG00000164463	CREBRF	-0.24	0.062	-0.095	-0.614	0.519
ENSG00000137504	CREBZF	0.015	0.255	0.363	-0.412	0.775
ENSG00000143162	CREG1	-0.129	-0.046	-0.133	-0.452	0.319
